Timestamp,In which GWF campus are you currently enrolled? ,Please indicate how the programme is meeting your expectations this year: ,Please describe 3 positive aspects of the programme that you have experienced this year. ,Name 3 challenges you have experienced in the programme so far.,How could we improve the BYA Programme?,Did you find your stationery packs useful?,What is the most important thing you have learnt about yourself this year so far? ,What will you do differently in the second half of the year? ,Are you likely to recommend this programme to others? ,Please give a reason for your answer above. ,Feel free to share a message with your BYA Team (Facilitators and Coordinator).,Feel free to share a message with the 2024 FA Students. (PDLC students to leave this question blank)
7/17/2024 13:04:38,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"Computer skills
Communication skills
Confidence ","Multi-tasking
The computer is processing slow
Also when there is load shadding","
The year is too much it should be 6 mouths
They must extected the blinding and get more computers for old people in age of 50 upwards.",Yes,"I have power to do whatever i thought I can't do it, in me i realy se a responsible person. ",I looked down on others than now i will be able to change my ways.,Yes,Because there is many to learn about and BYA has lot of fun.,"To Jane Ngwenyama and Memory Mokoena 
This are the  good people ever they have good atittude. they facilitate us with smile  love , and care  .","To the 2024 FA student , keep the Great work up."
7/17/2024 13:04:38,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"Confidence, knowledge, Computer Skills","Straggling from the computer.
When we are using computers the process is doing slowly.
We need more facilitators because sometimes we are lack of facilitators.",They must remove one facilitator during lesson. ,Yes,I learnt how kind of a person i am and now i have expanded more.,The effort that i was having before and now i want to use it also.,Yes,Because i want them to gain the more knowledge and know their skills. ,"I appreciate Memory to the work that  she is doing to me as student, you are giving me all the knowledge that you and that is great to me so keep up the good work that you are doing.",2024 FA Students the love that you have been showing me since we have been started the year i see that you need an   appreciate message don't change your behave. 
7/17/2024 13:04:38,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"Communicating with people.
Computer skills.
Confidence of presenting in front of people.","Load shedding.
Inequality computer.
Lake of closing date.",Learning only 5 months because some of the modules are not interested.,Yes,To communicate with people also gaining more skills.,I want to develop my marks.,Yes,Because we gain more skills and experience. ,I appreciate Rakie Khumalo and Memory Mokeona who always advice us to continue apply to other campus so we can get more experience.,I appreciate Candice and Tracy who make me see that keeping doing great thing you end up success in school.
7/17/2024 13:04:38,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"I have improved my computer computer literacy skills.
I have boosted my self confidence.
I have acquired Presentation skills.
","Generators have to implemented in place in case we experience load shedding.
Extension of computer literacy time to 3 hours.
Stationery supplies amongst student must be improved. ","By providing students with free data and laptops, perhaps learning may be very useful easy to every student.",Neutral,I have learned to take charge of myself and I have gained skills on problem solving to almost  every obstacles i come across in life.,Exceeding the results i have obtained this past semester to every modules.,Yes,"Its important to every individual to acquire computer skills and English speaking, because in most companies they require computer skills and speaking of English as compulsory to every individual to be employed.","Thank you to all BYA facilitators for all the efforts and all the hard working you have done and sacrifices your weekends to make means that we obtain good results and progress at the end of the semester, i appreciate you all guys thank you.","To all 2024 FA students i appreciate your efforts and the lessons provided was useful and helpful, keep up doing the good job guys and excel if possible."
7/17/2024 13:04:38,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.," Improved my English vocab 
Gained self-confidence to speak in front of people
gained computer skills like using a computer keyboard
","when its load shedding ICDL is not taking place
The computers some days it is not processing well
The three hours is not enough we need 5 hours",provide transport for people who staying far from the campus,Yes,I've learn about my personality type,Make sure complete my last Modules that are left without failing ,Yes,because GWF is the best foundation it increase our English vocab and also gaining computer skills there is a lot to say about GWF.,hello BYA Team if I fail a module ill need a donation of R20 please helping is the best key in life.,Candice  thank you so much for helping us with the extra hours my god bless you and be the best Facilitator you wish to be I love you keep the good work .
7/17/2024 13:04:39,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"Communication skills
Computer skills
Confidence","Multi-tasking
Slow computer processing 
Lot of online work","Students should have Wi-Fi network to do researches on digital based
There should be challenges against other campuses
There should be more campuses",Yes,I have come  to realisation that I am an critical thinker and moreover flexible around new challenges,Putting more on my communication skills,Yes,It is a good start for youth to be advanced in digital life,"To the BYA Team ,keep believing on us and we will also make you guys proud","To the 2024 FA Students, keep up on the good work .Your work is admirable."
7/17/2024 13:04:39,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"Computer skills
self Confidence 
More knowledge on how to speak English and reading  ","Being scared to stand in front of every one and present
For not able to write my first module because I was not ready 
We are not able to use computer while there is load shedding 
",The must make it 6 moths because the year is too long  ,Yes,I have learn that I'm a extrovert person and I know how to deal with situations ,I will put more effort on my studies   ,Yes,because it will help them too and they will gain more skills like us ,BYA Team thank you For not give up on me. For building my confidence and for teaching me how to use computers,"2024 FA student I will like to thank you for encouraging me, and also to help me with my studies. Most  special Candice Xivambo  "
7/17/2024 13:04:39,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Computer skills
Gain confidence  
Listen skills","Multi-task
Having extra hours or extra classes on weekend
Having no electricity to use the computer",The program should be 6 month.,Yes,I have learnt to have self confidence and to have a better communication skills,I will focus on my studies and write all my tasks in time.,Yes,It can help one person improve a lot in life and give them a way forward.,BYA Team. You are by far by the most loving and caring team so far. You treat us very well. Stay this kind forever.,2024 FA Students. You are doing your best and it shows. Stay true to yourself and keep on pushing.
7/17/2024 13:04:39,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"I gain computer skill like typing and other things on computer, My confidence and my English.",When there's no electricity due to Eskom failure and also when the computer is not responding.,Reducing the learning moths.,Yes,From the 16 personality I learned my personality.,Improving my time management since I sometimes get to be one or two minutes late.,Yes,It is the best campus that anyone needs to enroll in it.,"You are doing a very good job, continue to do the most shout out to BYA Team",I would like to appreciate all the 2024 FA students.
7/17/2024 13:04:39,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"I have gain Confidence.
I have gain communication skill.
Computer skill.","Strangling to use the computer when there's no electricity.
struggling to finish in time when writing.
need more time to practice.",Learning for 8 month because a year is too long.,Yes,I have learnt that If I can focus I can do better.,I want to  put more effort and practice more.,Yes,Because the program is good and you can develop more skill in it.,I want to appreciate Rakie Khumalo and Reason Khosa for always giving me hope and for helping me when i need help .,I appreciate Tracy and Candice for trying to encourage us and for doing there work in a good way when it comes to us.
7/17/2024 13:04:46,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I gained more knowledge on how to write a perfect Email
Skills on how to make do a presentation
Knowledge on doing calculations on Excel
","My challenges were on how to do calculations 
How to gain confidence on standing in front of people
Writing employability",They should improve from learning the modules for 6 months rather than learning for 12 months ,Yes,The thing i've learned about me its that im a person who expand than being on a comfort zone also ambitious ,I'd manage to put more effort on finishing the BYA modules no matter the kind of situation i meet i wont stop till the finish line ,Yes,For those whom wanna add more knowledge or those who would like to work with office administrator they can go for it and learn ,"To all my BYA Facilitator and Coordinator i'd like to share this message with all of you, it was hard for me from the start but you made everything easy now i have gained more skill on how to use a Microsoft Office, you guys are the game changer you've been the best people to me may you continue to keep changing others mindset.

Danko / Thank You ","Dear all the 2024 FA Students you guys know what you really want in life we all know its not easy to study for so long firstly you started as the BYA students but now you are still studying to be Facilitators it is a great choice keep on doing the good work, changing someone's mindset its not easy but i know you can do it with love and knowledge you've been good to me.

Danko / Thank You"
7/17/2024 13:04:47,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Being confidence enough.
Gained computer skills.
Boosted in my vocabulary.","Having to do lot of work.
When there is no electricity the computers will not be working, there must implement a way to deal with it.
Having the extra hour.",The program must be a six months course and also add some stationary like a 2 quire. ,Yes,I have learned that I am an introvert person and I know a lot about my personality and values.,"Study hard and finish my work before time.
Set goals and make sure I achieve them.",Yes,Because the program is so helpful and one can find his or her self in way that the person will gain more knowledge and gain more skills.,"BYA Team you are appreciated as you are treating everyone in a good manner, this should not end in the BYA students and you should keep your work going.  ","The FA Students, you are sharing your experience with us and also guiding us. Such that you also make sure we feel comfortable and want us to give the best of us.  "
7/17/2024 13:04:51,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"More Knowledge  on how to send an email.
I have gained computer skills.
I gained more Confidence especially standing in front of people.","I have a challenge on a long distance when I came to school.
Challenge of load shedding because we cant use computers. 
Challenge of going home with an empty stomach.","They must improve on the bridging year to be six months.
They must buy generator so that when there's load shedding we can use computers.",Yes,"I  was thinking that I am a shy person ,but now I know that I am an Extrovert person I am an out going person and I am also friendly person.",I want to put more effort on my ICDL so that I can get best result.,Yes,Because this program is giving us the best education so we can use it even in other countries and we gaining more knowledge.,"BYA team thank you for making me the best student in GWF now, I am so grateful that you guys didn't give up on me you keep on pushing now I have more knowledge on how to use computer because of you so thank very much may God bless you all.",FA students I thank you with the effort you gave me and encouraging me not to give up on our modules because at the end will make it and indeed I am.
7/17/2024 13:05:22,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"Computre skills
knowlledg skills
self conffidance
","when im using computer is no prossesing
I cant using the computres whe its loadsheding
I dont have a school bag that is my challenges","they can improve when they putting parvment
 ",Yes,im learn about respect each other and confidence,I Will do differently in my half year to changing my life,Yes,Beacause we learn about the respect and conffidence skill,I like to say thank you to racky  khumalo and lutricia Mandzini to make me understand my skills,I like to say thanks to candice shibambo to given me adversed and making me feel good to every peason in my compus
7/17/2024 13:21:03,Dumphries Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"It boost confidence
It boost knowledge
It is funny","Fair, load shedding and ",You can improve by buying generators or installing solar panels ,Yes,That I'm confidant and capable to do things I was afraid to do,I will increase the level of my confidence,Yes,Because this programme is very fruitful and gives knowledge to many things,To my team please keep it up the good work that your doing. Your a great a team your friendly and patient ,
7/17/2024 13:23:37,Dumphries Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"High level education.
I have gain knowledge.
I gain confidence.
",No chellanges ,By having more computers that can accomodate more learners,Yes,"Now I know who I am, and I know my personality.",I want to go to Hazyview and study hospitality,Yes,I like other people or our youth to come and join the cumpus.,We always adore you our facilitators and coordinator you give us the best education.,guys let us work hard in order to obtain our certificate 
7/17/2024 13:25:54,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"I had personal growth, it's a supportive environment and achieved academically.","worrying about exams, using a computer and shortage of computers for practice.",add more computers.,Yes,I realized that having cheerful people around you can also be cheered.,I will put more effort so I get my expectation.,Yes,It helps a lot on boosting ones confidence and improving english.,,
7/17/2024 13:25:57,Dumphries Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I made new friends, we have engaging facilitators who are passionate caring and supportive, I have a sense of belonging because we are treated equally.","Trying to meet high expectations, worrying about my exams and understanding my classes",by increasing the number of students they want because there are many people who want to learn by they did not get space,Yes,That I can do anything that I put my mind on,I will practice more because I am not really good in the modules,Yes,Because it taught me things that I can not find in another place,,
7/17/2024 13:26:06,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"I was taught to be confident.
I got compassionate as time went by.
I am good in problem-solving.","Tricky relationships with friends
Having to meet new people with different personalities
Having problems with concentrating in class due to some illnesses I've encountered",Provide a feeding scheme.,Yes, It is very much important to believe in my own self and I've realized that if I don't cheer for myself most likely no one else will and I can't expect it either.,Invest my time in the most important and useful things.,Yes,It gives student opportunities to enhance their skills and become better versions of themselves.,,
7/17/2024 13:26:25,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"1 improved  to speak English
2 gained self confidence 
3 gained computer knowledge ","1. I was scared to stand in front of people
2.I was scared to speak English in front of people
3. I was nervous for the first day when i met my facilitators  ",I think you should improve by adding a hospitality coarse at DDLC,Neutral,I have learn that nothing is too late i can still make it in life i thought im over aged for learning but here i am i keep pushing and i can be successful in life,ill be finish my studies work hard until the end of the then start looking for a job,Yes,because i see that its helpful ,i would like to thank all the BYA tem for helping me gain the confidence in my self i was a nervous person but now i am a confident person ,i would like to thank you mates i have made my self a new family and also you helped me where i used to fail but by your support i can see that i can make it
7/17/2024 13:27:23,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"1. Gaining more confidence.
2. Speaking English. 
3. Learning new things.","I was afraid to stand in front of people and talk.
I didn't know how to operate computer. 
Worried about exam.",You must extending hours to learn so that BYA student can improve their English.,Neutral,I have learnt to stand in front of people's and speak in English.,I will be busy looking for a job.,Yes,I want them to follow  the BYA programme because it help more people.   ,,
7/17/2024 13:27:34,Dumphries Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"To read more books help my vocabulary , I gain confidence to stand in front from people and talk ,Learning new words each everyday ","To learn how to use computer 
To stand in front of people which I do not know .
To speak fluently ",If  we practice more to become better ,Yes,To see my worth and not to undermine other people ,To carry the knowledge that my facilitators that they taught me about life and the skills of computer .,Yes,Because it so helpful and to tell others that they gain experience that I gain this year . ,To my facilitators and coordinator am so thankful about the skills and life time learning that am learning they made me see that am important to never give up and able to help other people in life because you can not live  alone in life .,To students if you found a chance be part of good work foundation grap it when you still have time because the you won't regret your it you take it.
7/17/2024 13:30:16,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"Calm
Brave
Humorous","Overpopulation
Overcrowded schools
Health care systems","Employee retention
Future proofing
Attracting others by Top talented people",No,"I'm a Fast learner, Strong minded and also Respectful.",pass all my modules by 100%,Yes,Because it is helping people and bringing more lucks of open jobs to anyone that is educated.,,
7/17/2024 13:31:23,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"I learnt that they are many good people.
I've learnt to communicate with people in a good way.
That do not judge people about their appearance. ","Standing in front of people.
Talking English everyday.
How to stand in front of people and do presentation.",By building more campuses in other villages.,Yes,"I've learnt that i love spending time alone, I do not talk too much and i love businesses.",I will continue with my studies here at good work foundation so that i can achieve my expectations and also try to  spend time with people and see if i will love it. ,Yes,Because they're going to know themselves better and they will gain knowledge and skills in computer. ,,
7/17/2024 13:35:24,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"I have noticed that there are a lot of good people out here.
I have learned that do not judge people till you meet them.
I learned to stand in front of people and present a speech.","To stand in front of people and present a speech.
Forming a friend ship with people I do not know.
Speaking in English every time.",By adding more space in every campus to accommodate more student.,Yes,I have improved my communication skill.,By practicing to speak in English every time when I am at home.,Yes,I want them to improve their communication skill.,,"Hard work pays, so work hard for your good."
7/17/2024 13:35:47,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"i gained more skiils about using a computer.
i have gained more knowledge.
i learned how to work with people and how to treat them.",so far i dont have challenges im good,adding more lessons ,No,I learn that im not a failure i can make it in life if i set my goal,I want to continue to study until i reach my goal,Yes,good work foundation offer a good service and you feel free when you are in the campus. ,thanks to my facilitator and coordinator you changed my life now i know how to live with people  you teach me how to set my goals and to have self confidence so i appreciate you all.,Being here at Good work foundation i feel like im on another level because  i have found  new friends  i feel happy when im with my classmate we share everything and we help each other  with our lessons that we are doing so i appreciate all my classmate.
7/17/2024 13:37:23,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"To have a self confidence
To create a frame of mind

","To take on a charity challenge
Exercise brain
climb a famous peak",To engage your organization's stakeholders,Yes,"To have respect and having a bond with others, how to treat others careful and communication",To apply at university,Yes,to others have willing to apply at GWF,They teach us to have any understanding,so that each of every students can have communications 
7/17/2024 13:37:26,Dumphries Digital Learning Campus,"The programme is currently meeting my expectations., The programme is exceeding (going above and beyond) my expectations.","1.  I had learnt valuables lessons that worth it at GWF.
2. I had improve my english level of speaking.
3. I had gain more confident and also to be able to interact with other people. ","1. Lack of practice in the ICDL.
2. Learning new things about computer basics.
3. Lack of engagement when it comes to lessons.",The BYA programme can be improved by adding more modules in the ICDL.,Yes,I had learnt to communicate with others in a good way. I also learnt not to give up in my goals because tomorrow could be a day I have been waiting for.,I will apply to the tertiary institution whereby I will be learning computer science. ,Yes,So that those who are willing to apply to the GWF can have more information. ,The Facilitators are teachig us with understanding and we are lucky to have them as our facilitators., I am very grateful to meet the classmates like them because they love and care about others.
7/17/2024 13:39:14,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"1 Are was not perfect to talk English
2 to have a moral
3 to be perfect 
","1 to learn English 
2 to having knowledge or skills 
3 to pass my exam that are have learn",to practice everyday and to attend our class ,Yes,are learn that when are work hard in life I will achieve something in my life the thing that are need to do is to work very hard to get want I want in future ,are will be learning at University,Yes,Because are suggest that something is the best thing to choose ,there good and caring facilitators and coordinator,there friendly and loving 
7/17/2024 13:57:48,Lilydale Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Ready to work, Employability and BYA",No chellanges ,By being patient to slow learners ,Yes,That I am a very confident and I adapt information very fast and to also discover new things I'm capable of doing ,Continue in working hard towards my modules and other lersorns ,Yes,Because this program teaches a lot and also have many opportunities after obtaining the certificate ,She is the most important person I would love to thank and appreciate for being able to be patient with me or us and to also help me and other students to learn and to also tell her that we love her as our facilitator she will forever be that special person in our lives and we will leave with her in our hearts ,Anything is possible and they must never give up on something they want and to tell them that they will be the most good and lovable future facilitators who will teach our brothers and sisters 
7/17/2024 14:02:37,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"Happiness, achievement and success ","Long distance, complain and dishonest ",By adding more modules ,Yes,That I feet to be a social worker ,Focus an pass more,Yes,This is a great opportunity to learn digital learning ,"They are very nice,Actually they are perfect ",They are my friends for ever I learnt alot from them
7/17/2024 14:04:10,Lilydale Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Hardworking, Friendship, Team work",No chellanges ,So far it is good.,Yes,I learned that nothing is really hard if I try my best and never give up.,I will try to manage time while doing my tasks.,Yes,Because you get to know more things about yourself that you never knew.,"They are very nice, and it's very easy to work with them.",
7/17/2024 14:22:08,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"learning computer
speaking English well
knowing my career","passing my modules
Improving on my studies
learning to love others",giving more times to practice bite side and employability,Yes,is because now i know which career is suitable for me,I will flow up my dreams to become what I want in life,Yes,because we likely to help each other when someone is struggling to cope,yes,yes
7/17/2024 14:22:20,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"Social , physical, ","Managing stress, relationship",By building more school in order for other people to get enroll,Yes,Gaining skills about the computer and communication skills,Making sure that i pass all my modules and doing my best,Yes,Because most people does not know how to use a computer so they will gains knowledge,Yes,Yes
7/17/2024 14:29:42,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"gain more knowledge
skills
understanding","creating presentation
calculating using computer
and excel
",you must give me more task to practice till I get it right,Yes,I  have to trust in me because no one else will,I will keep pushing and work hard,Yes,"We learn a lot and it open more opportunities, we gain experience, skills and knowledge.",I want to thank you for the amazing work u have done for me now I know lot of things because of you all,You all did a great job for taking step and come.
7/17/2024 14:29:57,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"Speaking English
 Using computer
self confidence","Standing in front of people 
Writing exams in time
Using a key board",Adding time for leaning,Yes,I can do anything when I'm ready to do it,Practice more than before,Yes,This program is helpful and you learn how to speak in front of people,Do not stop doing what you are doing everything is possible ,Use you computer certificate wisely and advise others not to stay home not knowing what to do they must find something useful and do it
7/17/2024 14:35:05,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"learning how to speak English
Learning how to use computer
learning how to stand in front of people","speak English
Computer
exams",To buy Genarator because we have a problem of electricity,Yes,I learnt to stand in front of people with self confidence,am improving now I know computer and am happy with my result,Yes,Because BYA is the best campus they have knowledge to teach us,My facilitators and coordinator thank you guys for give me opportunity to be here at this campus  I know am not perfect but you guys push me to  know  things better now am passing because of you.,My team for this year thanks guys for having a good hurt you were best students when we having  a task  you guys you were helping me.
7/17/2024 14:35:15,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"Improved self-esteem, personal growth and development, new skills and knowledge","Time management, fear of failure and managing stress and anxiety",Add more training and development opportunities.,Yes,I have learnt that I am capable of facing whatever challenges life throws at me. I can do anything as long as I put my mind to it.,I will improve my time management and extend my studying hours to get higher marks.,Yes,It improves personal growth and development.,"Thank you for your dedication, support and guidance. Keep up the fantastic work and continue inspiring others to reach their full potential.",Do not give up. Keep on striving until you reach your goals.
7/17/2024 14:35:31,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"characteristic
knowledge
side","Time Management
Self Confidence
Respect each other",Transport for Students who stay far from campus,No,Self Confidence,I will be doing well than before,Yes,because this bridging academy help a lot to many people and the is a possibility to find a good job with this programme,Our Facilitators and our Coordinate they must stop to give students a warning without valid reason.,A massage to my classmates and other 2024students  i really apriciate  them especially my classmate those guys are like my family they know what is team or group are .
7/17/2024 14:37:42,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"knowledge
respect
time management","scheduling time of study
group work
lack of undastanding",they most have the own transport,Yes,i learn that im a thankfull  learn ,i will upgreat on my module,Yes,becouse is education is key of success,is good to be at GWF u a good and carring people to every one,it was a nice time to be with u guys love u alot
7/17/2024 14:37:45,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"Gained more knowledge
Improved my everyday English
Choosing career wisely","Being focused
Being motivated
",You can reduce the learning period or maybe provide more holidays.,No,I have learn that there are many things I can do which I always doubted my self on.,Improve my results,Yes,The program can change many lives in our village,They are so nice and also strict when it come to learning,GWF is a home where everyone is welcome to further their studies
7/17/2024 14:38:37,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"more knowledge
gain confident
time management","Coming late 
Nervous at first
lack of self-confident",Attending extra classes or add extra hour of learning,Yes,is that believing in myself and getting along with others was the key and made me feel welcomed .,continue to work hard and avoid coming late.,Yes,I will try to let everyone know about the knowledge I've gained ,she is the best facilitator ever because she make sure we understand and pass each every module,"they are most amazing students i know, caring and helpful at the same time"
7/17/2024 14:40:02,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"knowledge about computer
improve my English
do my work on time
","hold mouse
stay in front of people 
speak English",improve about transport because many students stay far away from this campus and they travel every day ,Yes,"I can speak English, use computer",doing my own business,Yes,I am likely because I have gain  self confidence,my facilitators and coordinator I want to thank you for this opportunity to teach me computer today I now computer because of you and I gain self confidence ,today I know how to work with team because of you guys I want to thank you
7/17/2024 14:40:04,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"I have gained more knowledge, ","Resistance to change, Staying accountable and committed, Overcoming fear of the unknown.",Provide more resources and support.,Yes,"Enhanced self confidence, Improved work-life balance and Increased motivation.",I will try to study hard and get distinction in the next coming modules.,Yes,Learning new skills and knowledge.,"Thank you for helping us navigate challenges, celebrate successes, and develop new skills. Your dedication has made a lasting impact, and I am grateful to have had the opportunity to learn from and work with each of you.","I have met people who are friendly and kind, I even make friends with some of my class mates."
7/17/2024 14:40:08,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"self confident
more knowledge about computer
respect",to make sign a warning without a valid reason,If you can able to help with transport,Yes,I learn how to communicant with other people very well,to listen my facilitate I will be able to pass all my module,Yes,because I'm very happy here at GWF I wish everyone see it,go on with the good work because its beatiful,good luck guys
7/17/2024 14:42:00,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"Improved knowledge base
Enhanced conversational capabilities
Supportive interactions","Ambiguity and clarity
Context switching
Emotional nuance",Regular updates and maintenance: Ensure the program is regularly updated and maintained to prevent technical issues.,Yes,Embracing change and being open to new experiences and knowledge.,"Continuously learn, adapt, and evolve.",Yes,Because at GWF you learn lot of things eg English which Is the language that Is used by the world to communicate.,I'm grateful for your guidance and support throughout our programme. Thank you for your expertise.,You guys are an amazing team! I'm so grateful to learn and grow alongside each of you.
7/17/2024 14:42:24,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"The programmer fosters a sense of community and teamwork encouraging participants to support and learn from each other
The programmer offers opportunities for skill building and knowledge
Participants receive guidance and support from experienced mentors","Time management
Self-doubt 
Information overload","Offer tailored learning experience based on individual strengths, weaknesses and goals
",Yes,I have learn that don't give up on yourself work hard at the end you will success,Focus on optimizing schedules and workflows to increase productive,Yes,Because I like to help others  ,Keep up the fantastic work and remember that your efforts are making a positive impact on the lives of many,They must respect their facilitator and they must do their your and they must come early at school 
7/17/2024 14:43:09,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"connectivity, creative problem -solving skills, improved self-esteem ","distractions, overcoming procrastination, limited resource ","attend some extra classes,  finish modules in record time",Yes,self love and respect,"be at school in time, attend all classes",Yes,because I have gain more information,I appreciate there work,"be self motivated, respect time and your facilitators"
7/17/2024 14:43:50,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"good communication 
self confidence
team work","time management
lack of communication
having problem with bite size",we can have t shirts as BYA students,Neutral,I am able to handle lot of people and also self confidence when it comes to standing in front of people.,time management,Yes,It is so helpful for people who want to know more about computers and also has great opportunities in the future.,They must continue to be kind and always deliver the good work to other student that are going to come here for this programme.,They are inspiring me so much to continue with this team and also they have been good to us.
7/17/2024 14:43:50,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"More knowledge, Self-confidence, Ideas","slow learner,  Lack of communication, Time management",We can have T-shirt as BYA student.,Neutral,To believe in myself.,By improving my self-confidence and believe in my doings all the time.,Yes,Because it is so helpful and it can also change others lives.,"Keep on doing your job, you are a good team.",They are friendly and they do enjoy to be part of it.
7/17/2024 14:43:59,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Self-confidence, team work , knowledge ","Time management , slow leaner , bite size",GWF t-shirts as student uniform.,Yes,Always have self confidence when standing in front of people.,Time management,Yes,For those who do not know how to use a computer to learn to use it and know other things that we do at GWF.,They must continue helping other people who will be student here next year and treating them well like they are treating us now.,They have a good heart and they help us when we are struggling with the modules.
7/17/2024 14:44:07,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Self-Confidence
Team work
Communication","Lack of communication
Time management
Slow learner",By ending time,Neutral,I am self-confidence and I am able to communicate with other people,I will do my homework and come on time,Yes,Because it will help others as it help me and is helpful to share this information to others,Going forward to maintain their team work and teaching other learners who will come next year than they do to us,They motivated me so much about good things and they teach me very well with a good attitude
7/17/2024 14:44:12,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Gained more knowledge
Team work 
Gained self confidence ","Lack of time management
Don't usually finish exam on time
Lack of good communication  
",3 hours of learning is short adding more time is needed.,Yes,I can speak English fluently.,I will make sure I write and finish my exam on time.,Yes,"Because is very helpful in many ways, It even gives you a chance to know which career you can best fit in.",The work you all are doing is great continue doing the good work in all the upcoming years.,I am very inspired by the FA students as they are young and ambitious and they are doing a very great work.
7/17/2024 14:44:17,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"self-confidence
team work
good communication","to stand in front of people
time management
lack of communication",Adding time,Yes,To communicate with other people,I will make sure that I study hard,Yes,Because you learn lot of this in this Programmer,Don't change their good heart on us even we are not donging good thing,All of them  they have good heart and their kind to everyone in the campus
7/17/2024 14:44:26,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Improved my communication skill
Gain knowledge about digital world
Learnt to be good participator ","Time management
Struggle with some of the modules
To be associated with a lot people",add one more modules,Neutral,That I am capable to engage with others,Keep my work more organized,Yes,"It guides one to be on the right path, and at the end they can become a better person.",Keep on providing better education to the communities and hold it steady with the whole team,"Don't give up, keep on doing the good work "
7/17/2024 14:44:37,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"Improve self-esteem, access to information  and creativity","Overcoming procrastination, staying accountable and balancing work and personal life","offer career development workshops, strengthen support systems and attend extra classes",Yes,"self love, self motivated and respect",I will attend every lesson at school and add extra time,Yes,because I have gained more knowledge and skills.,I appreciate their work ,I'm thankful for them because they help me whenever I need help 
7/17/2024 14:44:42,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"More knowledge
Gain self confidence
Team work","Time management
struggling with bite size
lack of communication ",Give us T-shirts for BYA students,Yes,I have learn to stand in front of people and how to use computer.,I will improve my studies so that I can get better results.,Yes,Because I have gain more knowledge and self confidence.,"they must keep doing the good work that they are doing, we thank the support that they are giving us, even we learn slow they keep on teaching us they don't give up.",They encourage us to learn it will help us.
